Hole_Id,Depth_From,Depth_To,Bond_Work,Abression,Rodmill_In,Drop_Weigh,RQD,AxB,X,Y,Z,Depth_max
KRED212,25.00,29.10,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,29.10,31.70,7.00,0.00,12.00,0.02,36.33,29.10,530246.99,8714518.87,1329.94,161.00
KRED212,31.70,48.80,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,48.80,53.50,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,53.50,56.00,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,56.00,58.80,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,58.80,113.00,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,113.00,123.75,12.00,0.02,13.80,16.00,54.74,0.32,530246.99,8714518.87,1329.94,161.00
KRED212,123.75,127.50,12.00,0.02,13.80,16.00,54.74,0.32,530246.99,8714518.87,1329.94,161.00
KRED212,127.50,131.00,10.30,0.32,13.70,21.00,45.00,0.67,530246.99,8714518.87,1329.94,161.00
KRED212,131.00,153.00,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,153.00,161.00,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED218,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,530027.49,8714330.72,1331.30,170.00
KRED218,12.50,27.50,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,27.50,30.70,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,30.70,35.50,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,35.50,37.80,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,37.80,42.50,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,42.50,51.50,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,51.50,75.80,10.30,0.32,13.70,21.00,45.00,0.67,530027.49,8714330.72,1331.30,170.00
KRED218,75.80,81.00,12.00,0.02,13.80,16.00,54.74,0.32,530027.49,8714330.72,1331.30,170.00
KRED218,81.00,88.90,12.00,0.02,13.80,16.00,54.74,0.32,530027.49,8714330.72,1331.30,170.00
KRED218,88.90,95.00,12.00,0.02,13.80,16.00,54.74,0.32,530027.49,8714330.72,1331.30,170.00
KRED218,95.00,106.60,12.00,0.02,13.80,16.00,54.74,0.32,530027.49,8714330.72,1331.30,170.00
KRED218,106.60,108.50,12.00,0.02,13.80,16.00,54.74,0.32,530027.49,8714330.72,1331.30,170.00
KRED218,108.50,110.50,12.80,0.15,14.20,12.80,41.68,11.70,530027.49,8714330.72,1331.30,170.00
KRED218,110.50,112.20,12.00,0.02,13.80,16.00,54.74,0.32,530027.49,8714330.72,1331.30,170.00
KRED218,112.20,117.00,15.30,0.03,8.90,6.70,61.00,0.71,530027.49,8714330.72,1331.30,170.00
KRED218,117.00,120.50,15.30,0.03,8.90,6.70,61.00,0.71,530027.49,8714330.72,1331.30,170.00
KRED218,120.50,123.50,12.00,0.02,13.80,16.00,54.74,0.32,530027.49,8714330.72,1331.30,170.00
KRED218,123.50,128.00,19.60,0.02,4.00,6.10,16.00,0.24,530027.49,8714330.72,1331.30,170.00
KRED218,128.00,131.00,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,131.00,136.50,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,136.50,148.50,7.00,0.00,12.00,0.02,36.33,29.10,530027.49,8714330.72,1331.30,170.00
KRED218,148.50,150.00,14.30,0.78,18.90,11.30,70.00,41.10,530027.49,8714330.72,1331.30,170.00
KRED218,150.00,151.30,7.00,0.00,12.00,0.02,36.33,29.10,530027.49,8714330.72,1331.30,170.00
KRED218,151.30,170.00,7.00,0.00,12.00,0.02,36.33,29.10,530027.49,8714330.72,1331.30,170.00
KRED219,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00,530083.48,8714286.35,1330.94,125.00
KRED219,11.50,27.50,10.30,0.32,13.70,21.00,45.00,0.67,530083.48,8714286.35,1330.94,125.00
KRED219,27.50,35.00,12.00,0.02,13.80,16.00,54.74,0.32,530083.48,8714286.35,1330.94,125.00
KRED219,35.00,45.00,12.00,0.02,13.80,16.00,54.74,0.32,530083.48,8714286.35,1330.94,125.00
KRED219,45.00,49.00,12.00,0.02,13.80,16.00,54.74,0.32,530083.48,8714286.35,1330.94,125.00
KRED219,49.00,57.80,12.00,0.02,13.80,16.00,54.74,0.32,530083.48,8714286.35,1330.94,125.00
KRED219,57.80,60.00,12.00,0.02,13.80,16.00,54.74,0.32,530083.48,8714286.35,1330.94,125.00
KRED219,60.00,62.00,12.80,0.15,14.20,12.80,41.68,11.70,530083.48,8714286.35,1330.94,125.00
KRED219,62.00,65.00,12.00,0.02,13.80,16.00,54.74,0.32,530083.48,8714286.35,1330.94,125.00
KRED219,65.00,71.00,15.30,0.03,8.90,6.70,61.00,0.71,530083.48,8714286.35,1330.94,125.00
KRED219,71.00,78.00,15.30,0.03,8.90,6.70,61.00,0.71,530083.48,8714286.35,1330.94,125.00
KRED219,78.00,81.20,12.00,0.02,13.80,16.00,54.74,0.32,530083.48,8714286.35,1330.94,125.00
KRED219,81.20,90.00,19.60,0.02,4.00,6.10,16.00,0.24,530083.48,8714286.35,1330.94,125.00
KRED219,90.00,99.50,14.30,0.78,18.90,11.30,70.00,41.10,530083.48,8714286.35,1330.94,125.00
KRED219,99.50,114.50,14.30,0.78,18.90,11.30,70.00,41.10,530083.48,8714286.35,1330.94,125.00
KRED219,114.50,122.00,7.00,0.00,12.00,0.02,36.33,29.10,530083.48,8714286.35,1330.94,125.00
KRED219,122.00,125.00,7.00,0.00,12.00,0.02,36.33,29.10,530083.48,8714286.35,1330.94,125.00
KRED220,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,530189.74,8714515.05,1329.00,189.00
KRED220,8.00,30.00,10.30,0.32,13.70,21.00,45.00,0.67,530189.74,8714515.05,1329.00,189.00
KRED220,30.00,48.30,10.30,0.32,13.70,21.00,45.00,0.67,530189.74,8714515.05,1329.00,189.00
KRED220,48.30,103.50,14.30,0.78,18.90,11.30,70.00,41.10,530189.74,8714515.05,1329.00,189.00
KRED220,103.50,115.80,7.00,0.00,12.00,0.02,36.33,29.10,530189.74,8714515.05,1329.00,189.00
KRED220,115.80,126.00,7.00,0.00,12.00,0.02,36.33,29.10,530189.74,8714515.05,1329.00,189.00
KRED220,126.00,132.80,14.30,0.78,18.90,11.30,70.00,41.10,530189.74,8714515.05,1329.00,189.00
KRED220,132.80,145.00,7.00,0.00,12.00,0.02,36.33,29.10,530189.74,8714515.05,1329.00,189.00
KRED220,145.00,151.60,14.30,0.78,18.90,11.30,70.00,41.10,530189.74,8714515.05,1329.00,189.00
KRED220,151.60,159.00,7.00,0.00,12.00,0.02,36.33,29.10,530189.74,8714515.05,1329.00,189.00
KRED220,159.00,174.00,7.00,0.00,12.00,0.02,36.33,29.10,530189.74,8714515.05,1329.00,189.00
KRED220,174.00,179.70,14.30,0.78,18.90,11.30,70.00,41.10,530189.74,8714515.05,1329.00,189.00
KRED220,179.70,182.00,7.00,0.00,12.00,0.02,36.33,29.10,530189.74,8714515.05,1329.00,189.00
KRED220,182.00,189.00,7.00,0.00,12.00,0.02,36.33,29.10,530189.74,8714515.05,1329.00,189.00
KRED221,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00,529972.27,8714376.85,1331.46,189.00
KRED221,11.50,42.50,19.60,0.02,4.00,6.10,16.00,0.24,529972.27,8714376.85,1331.46,189.00
KRED221,42.50,45.00,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,45.00,46.00,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,46.00,47.00,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,47.00,65.30,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,65.30,69.20,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,69.20,71.00,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,71.00,74.50,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,74.50,108.50,7.00,0.00,12.00,0.02,36.33,29.10,529972.27,8714376.85,1331.46,189.00
KRED221,108.50,117.50,10.30,0.32,13.70,21.00,45.00,0.67,529972.27,8714376.85,1331.46,189.00
KRED221,117.50,130.30,10.30,0.32,13.70,21.00,45.00,0.67,529972.27,8714376.85,1331.46,189.00
KRED221,130.30,138.30,12.00,0.02,13.80,16.00,54.74,0.32,529972.27,8714376.85,1331.46,189.00
KRED221,138.30,150.50,12.00,0.02,13.80,16.00,54.74,0.32,529972.27,8714376.85,1331.46,189.00
KRED221,150.50,155.40,12.00,0.02,13.80,16.00,54.74,0.32,529972.27,8714376.85,1331.46,189.00
KRED221,155.40,159.00,12.00,0.02,13.80,16.00,54.74,0.32,529972.27,8714376.85,1331.46,189.00
KRED221,159.00,162.50,12.00,0.02,13.80,16.00,54.74,0.32,529972.27,8714376.85,1331.46,189.00
KRED221,162.50,164.00,12.80,0.15,14.20,12.80,41.68,11.70,529972.27,8714376.85,1331.46,189.00
KRED221,164.00,166.00,12.00,0.02,13.80,16.00,54.74,0.32,529972.27,8714376.85,1331.46,189.00
KRED221,166.00,168.90,15.30,0.03,8.90,6.70,61.00,0.71,529972.27,8714376.85,1331.46,189.00
KRED221,168.90,170.00,15.30,0.03,8.90,6.70,61.00,0.71,529972.27,8714376.85,1331.46,189.00
KRED221,170.00,171.00,12.00,0.02,13.80,16.00,54.74,0.32,529972.27,8714376.85,1331.46,189.00
KRED221,171.00,174.80,14.30,0.78,18.90,11.30,70.00,41.10,529972.27,8714376.85,1331.46,189.00
KRED221,174.80,183.00,14.30,0.78,18.90,11.30,70.00,41.10,529972.27,8714376.85,1331.46,189.00
KRED221,183.00,189.00,14.30,0.78,18.90,11.30,70.00,41.10,529972.27,8714376.85,1331.46,189.00
KRED222,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,530187.81,8714416.30,1329.98,131.00
KRED222,10.00,13.50,7.00,0.00,12.00,0.02,36.33,29.10,530187.81,8714416.30,1329.98,131.00
KRED222,13.50,17.80,10.30,0.32,13.70,21.00,45.00,0.67,530187.81,8714416.30,1329.98,131.00
KRED222,17.80,18.00,14.30,0.25,16.90,11.30,69.00,20.00,530187.81,8714416.30,1329.98,131.00
KRED222,18.00,20.50,10.30,0.32,13.70,21.00,45.00,0.67,530187.81,8714416.30,1329.98,131.00
KRED222,20.50,21.00,14.30,0.25,16.90,11.30,69.00,20.00,530187.81,8714416.30,1329.98,131.00
KRED222,21.00,31.30,10.30,0.32,13.70,21.00,45.00,0.67,530187.81,8714416.30,1329.98,131.00
KRED222,31.30,46.50,12.00,0.02,13.80,16.00,54.74,0.32,530187.81,8714416.30,1329.98,131.00
KRED222,46.50,72.00,12.00,0.02,13.80,16.00,54.74,0.32,530187.81,8714416.30,1329.98,131.00
KRED222,72.00,81.00,11.00,0.02,12.60,14.00,50.00,23.00,530187.81,8714416.30,1329.98,131.00
KRED222,81.00,86.00,12.00,0.02,13.80,16.00,54.74,0.32,530187.81,8714416.30,1329.98,131.00
KRED222,86.00,101.00,14.30,0.78,18.90,11.30,70.00,41.10,530187.81,8714416.30,1329.98,131.00
KRED222,101.00,114.00,7.00,0.00,12.00,0.02,36.33,29.10,530187.81,8714416.30,1329.98,131.00
KRED222,114.00,132.00,7.00,0.00,12.00,0.02,36.33,29.10,530187.81,8714416.30,1329.98,131.00
KRED223,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,530250.08,8714418.40,1330.09,119.00
KRED223,6.50,24.50,12.00,0.02,13.80,16.00,54.74,0.32,530250.08,8714418.40,1330.09,119.00
KRED223,24.50,41.00,12.00,0.02,13.80,16.00,54.74,0.32,530250.08,8714418.40,1330.09,119.00
KRED223,41.00,48.50,11.00,0.02,12.60,14.00,50.00,23.00,530250.08,8714418.40,1330.09,119.00
KRED223,48.50,54.50,12.00,0.02,13.80,16.00,54.74,0.32,530250.08,8714418.40,1330.09,119.00
KRED223,54.50,77.00,14.30,0.78,18.90,11.30,70.00,41.10,530250.08,8714418.40,1330.09,119.00
KRED223,77.00,90.50,14.30,0.78,18.90,11.30,70.00,41.10,530250.08,8714418.40,1330.09,119.00
KRED223,90.50,99.50,14.30,0.78,18.90,11.30,70.00,41.10,530250.08,8714418.40,1330.09,119.00
KRED223,99.50,119.00,14.30,0.78,18.90,11.30,70.00,41.10,530250.08,8714418.40,1330.09,119.00
KRED225B,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00,530182.47,8714616.36,1329.82,140.50
KRED225B,11.50,45.50,14.30,0.78,18.90,11.30,70.00,41.10,530182.47,8714616.36,1329.82,140.50
KRED225B,45.50,53.00,7.00,0.00,12.00,0.02,36.33,29.10,530182.47,8714616.36,1329.82,140.50
KRED225B,53.00,56.80,14.30,0.78,18.90,11.30,70.00,41.10,530182.47,8714616.36,1329.82,140.50
KRED225B,56.80,60.00,7.00,0.00,12.00,0.02,36.33,29.10,530182.47,8714616.36,1329.82,140.50
KRED225B,60.00,65.00,14.30,0.78,18.90,11.30,70.00,41.10,530182.47,8714616.36,1329.82,140.50
KRED225B,65.00,69.00,11.00,0.02,12.60,14.00,50.00,23.00,530182.47,8714616.36,1329.82,140.50
KRED225B,69.00,72.50,11.00,0.02,12.60,14.00,50.00,23.00,530182.47,8714616.36,1329.82,140.50
KRED225B,72.50,80.00,7.00,0.00,12.00,0.02,36.33,29.10,530182.47,8714616.36,1329.82,140.50
KRED225B,80.00,119.20,14.30,0.78,18.90,11.30,70.00,41.10,530182.47,8714616.36,1329.82,140.50
KRED225B,119.20,131.00,14.30,0.78,18.90,11.30,70.00,41.10,530182.47,8714616.36,1329.82,140.50
KRED225B,131.00,138.70,14.30,0.78,18.90,11.30,70.00,41.10,530182.47,8714616.36,1329.82,140.50
KRED225B,138.70,140.50,14.30,0.78,18.90,11.30,70.00,41.10,530182.47,8714616.36,1329.82,140.50
KRED226B,0.00,15.40,0.00,0.00,0.00,0.00,0.00,0.00,530241.46,8714616.29,1329.58,128.50
KRED226B,15.40,21.30,15.30,0.03,8.90,6.70,61.00,0.71,530241.46,8714616.29,1329.58,128.50
KRED226B,21.30,25.50,15.30,0.03,8.90,6.70,61.00,0.71,530241.46,8714616.29,1329.58,128.50
KRED226B,25.50,26.50,12.00,0.02,13.80,16.00,54.74,0.32,530241.46,8714616.29,1329.58,128.50
KRED226B,26.50,29.50,12.80,0.15,14.20,12.80,41.68,11.70,530241.46,8714616.29,1329.58,128.50
KRED226B,29.50,32.00,12.00,0.02,13.80,16.00,54.74,0.32,530241.46,8714616.29,1329.58,128.50
KRED226B,32.00,47.25,12.00,0.02,13.80,16.00,54.74,0.32,530241.46,8714616.29,1329.58,128.50
KRED226B,47.25,54.00,12.00,0.02,13.80,16.00,54.74,0.32,530241.46,8714616.29,1329.58,128.50
KRED226B,54.00,66.00,12.00,0.02,13.80,16.00,54.74,0.32,530241.46,8714616.29,1329.58,128.50
KRED226B,66.00,69.00,12.00,0.02,13.80,16.00,54.74,0.32,530241.46,8714616.29,1329.58,128.50
KRED226B,69.00,74.50,10.30,0.32,13.70,21.00,45.00,0.67,530241.46,8714616.29,1329.58,128.50
KRED226B,74.50,79.50,10.30,0.32,13.70,21.00,45.00,0.67,530241.46,8714616.29,1329.58,128.50
KRED226B,79.50,89.50,10.30,0.32,13.70,21.00,45.00,0.67,530241.46,8714616.29,1329.58,128.50
KRED226B,89.50,106.50,10.30,0.32,13.70,21.00,45.00,0.67,530241.46,8714616.29,1329.58,128.50
KRED226B,106.50,115.50,10.30,0.32,13.70,21.00,45.00,0.67,530241.46,8714616.29,1329.58,128.50
KRED226B,115.50,121.50,14.30,0.78,18.90,11.30,70.00,41.10,530241.46,8714616.29,1329.58,128.50
KRED226B,121.50,134.00,14.30,0.78,18.90,11.30,70.00,41.10,530241.46,8714616.29,1329.58,128.50
KRED226B,134.00,134.70,14.30,0.78,18.90,11.30,70.00,41.10,530241.46,8714616.29,1329.58,128.50
KRED226B,134.70,142.60,14.30,0.78,18.90,11.30,70.00,41.10,530241.46,8714616.29,1329.58,128.50
KRED226B,142.60,146.50,14.30,0.78,18.90,11.30,70.00,41.10,530241.46,8714616.29,1329.58,128.50
KRED227,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00,529981.25,8714239.74,1331.62,161.00
KRED227,9.50,26.20,14.30,0.78,18.90,11.30,70.00,41.10,529981.25,8714239.74,1331.62,161.00
KRED227,26.20,44.00,13.30,0.75,17.90,10.30,72.00,40.00,529981.25,8714239.74,1331.62,161.00
KRED227,44.00,84.50,14.30,0.78,18.90,11.30,70.00,41.10,529981.25,8714239.74,1331.62,161.00
KRED227,84.50,96.50,14.30,0.78,18.90,11.30,70.00,41.10,529981.25,8714239.74,1331.62,161.00
KRED227,96.50,130.00,14.30,0.78,18.90,11.30,70.00,41.10,529981.25,8714239.74,1331.62,161.00
KRED227,130.00,135.50,14.30,0.78,18.90,11.30,70.00,41.10,529981.25,8714239.74,1331.62,161.00
KRED227,135.50,138.50,7.00,0.00,12.00,0.02,36.33,29.10,529981.25,8714239.74,1331.62,161.00
KRED227,138.50,141.00,7.00,0.00,12.00,0.02,36.33,29.10,529981.25,8714239.74,1331.62,161.00
KRED227,141.00,158.00,14.30,0.78,18.90,11.30,70.00,41.10,529981.25,8714239.74,1331.62,161.00
KRED227,158.00,161.00,7.00,0.00,12.00,0.02,36.33,29.10,529981.25,8714239.74,1331.62,161.00
KRED228,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,529933.72,8714280.41,1331.82,155.00
KRED228,8.00,49.80,19.60,0.02,4.00,6.10,16.00,0.24,529933.72,8714280.41,1331.82,155.00
KRED228,49.80,53.30,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED228,53.30,56.00,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED228,56.00,60.80,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED228,60.80,77.00,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED228,77.00,121.00,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED228,121.00,140.00,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED228,140.00,146.00,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED228,146.00,155.00,14.30,0.78,18.90,11.30,70.00,41.10,529933.72,8714280.41,1331.82,155.00
KRED229,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,530310.66,8714614.75,1329.16,108.50
KRED229,17.00,33.70,7.00,0.00,12.00,0.02,36.33,29.10,530310.66,8714614.75,1329.16,108.50
KRED229,33.70,47.00,14.30,0.78,18.90,11.30,70.00,41.10,530310.66,8714614.75,1329.16,108.50
KRED229,47.00,52.30,7.00,0.00,12.00,0.02,36.33,29.10,530310.66,8714614.75,1329.16,108.50
KRED229,52.30,62.00,14.30,0.78,18.90,11.30,70.00,41.10,530310.66,8714614.75,1329.16,108.50
KRED229,62.00,67.30,7.00,0.00,12.00,0.02,36.33,29.10,530310.66,8714614.75,1329.16,108.50
KRED229,67.30,72.00,14.30,0.78,18.90,11.30,70.00,41.10,530310.66,8714614.75,1329.16,108.50
KRED229,72.00,74.00,7.00,0.00,12.00,0.02,36.33,29.10,530310.66,8714614.75,1329.16,108.50
KRED229,74.00,101.20,14.30,0.78,18.90,11.30,70.00,41.10,530310.66,8714614.75,1329.16,108.50
KRED229,101.20,108.50,7.00,0.00,12.00,0.02,36.33,29.10,530310.66,8714614.75,1329.16,108.50
KRED230,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,530035.86,8714458.18,1330.97,272.00
KRED230,15.00,33.00,7.00,0.00,12.00,0.02,36.33,29.10,530035.86,8714458.18,1330.97,272.00
KRED230,33.00,37.60,7.00,0.00,12.00,0.02,36.33,29.10,530035.86,8714458.18,1330.97,272.00
